"filename", "language", "HTML", "PostCSS", "Markdown", "JavaScript", "comment", "blank", "total"
"c:\Users\LiYi\Documents\backyard_git\Backyard-Ultra-Valais-2026\GUIDE_RESULTATS_LIVE.md", "Markdown", 0, 0, 114, 0, 0, 73, 187
"c:\Users\LiYi\Documents\backyard_git\Backyard-Ultra-Valais-2026\about-us\index.html", "HTML", 0, 0, 0, 0, 0, 1, 1
"c:\Users\LiYi\Documents\backyard_git\Backyard-Ultra-Valais-2026\css\index_style.css", "PostCSS", 0, 881, 0, 0, 48, 159, 1088
"c:\Users\LiYi\Documents\backyard_git\Backyard-Ultra-Valais-2026\css\informations_style.css", "PostCSS", 0, 582, 0, 0, 20, 108, 710
"c:\Users\LiYi\Documents\backyard_git\Backyard-Ultra-Valais-2026\css\inscriptions_style.css", "PostCSS", 0, 377, 0, 0, 9, 9, 395
"c:\Users\LiYi\Documents\backyard_git\Backyard-Ultra-Valais-2026\css\resultats_style.css", "PostCSS", 0, 164, 0, 0, 5, 29, 198
"c:\Users\LiYi\Documents\backyard_git\Backyard-Ultra-Valais-2026\index.html", "HTML", 386, 0, 0, 0, 92, 26, 504
"c:\Users\LiYi\Documents\backyard_git\Backyard-Ultra-Valais-2026\informations\index.html", "HTML", 860, 0, 0, 0, 17, 32, 909
"c:\Users\LiYi\Documents\backyard_git\Backyard-Ultra-Valais-2026\inscriptions\index.html", "HTML", 576, 0, 0, 0, 6, 17, 599
"c:\Users\LiYi\Documents\backyard_git\Backyard-Ultra-Valais-2026\js\live-results.js", "JavaScript", 0, 0, 0, 129, 34, 33, 196
"c:\Users\LiYi\Documents\backyard_git\Backyard-Ultra-Valais-2026\js\main.js", "JavaScript", 0, 0, 0, 321, 20, 44, 385
"c:\Users\LiYi\Documents\backyard_git\Backyard-Ultra-Valais-2026\resultats\2025\index.html", "HTML", 805, 0, 0, 0, 5, 13, 823
"c:\Users\LiYi\Documents\backyard_git\Backyard-Ultra-Valais-2026\resultats\2026-live-do-not-access\index.html", "HTML", 504, 0, 0, 0, 7, 25, 536
"c:\Users\LiYi\Documents\backyard_git\Backyard-Ultra-Valais-2026\resultats\2026\index.html", "HTML", 413, 0, 0, 0, 6, 36, 455
"c:\Users\LiYi\Documents\backyard_git\Backyard-Ultra-Valais-2026\resultats\index.html", "HTML", 14, 0, 0, 0, 0, 1, 15
"Total", "-", 3558, 2004, 114, 450, 269, 606, 7001
